"ID","subspecies","authority","code","comment","status","species","species_id","inaturalist","taxonID","notes"
5079,"Ceyx pusillus pusillus","Temminck, 1836",,,,"Ceyx pusillus",3312,22208,"https://www.inaturalist.org/taxa/720823",
5080,"Ceyx pusillus ramsayi","(North, 1912)",,,,"Ceyx pusillus",3312,22209,"https://www.inaturalist.org/taxa/720824",
5084,"Ceyx pusillus richardsi","(Tristram, 1882)",,,,"Ceyx pusillus",3312,22210,"https://www.inaturalist.org/taxa/720825",
4646,"Chaetocercus heliodor cleavesi","Moore, RT, 1934",,,,"Chaetocercus heliodor",3151,22211,"https://www.inaturalist.org/taxa/720826",
4645,"Chaetocercus heliodor heliodor","(Bourcier, 1840)",,,,"Chaetocercus heliodor",3151,22212,"https://www.inaturalist.org/taxa/720827",
4647,"Chaetocercus jourdanii andinus","Phelps & Phelps Jr, 1949",,,,"Chaetocercus jourdanii",3154,22213,"https://www.inaturalist.org/taxa/720828",
4649,"Chaetocercus jourdanii jourdanii","(Bourcier, 1839)",,,,"Chaetocercus jourdanii",3154,22214,"https://www.inaturalist.org/taxa/720829",
4648,"Chaetocercus jourdanii rosae","(Bourcier & Mulsant, 1846)",,,,"Chaetocercus jourdanii",3154,22215,"https://www.inaturalist.org/taxa/720830",
3643,"Chaetura brachyura brachyura","(Jardine, 1846)",,,,"Chaetura brachyura",2816,22216,"https://www.inaturalist.org/taxa/720831",
3645,"Chaetura brachyura cinereocauda","(Cassin, 1850)",,,,"Chaetura brachyura",2816,22217,"https://www.inaturalist.org/taxa/720832",
3644,"Chaetura brachyura ocypetes","Zimmer, JT, 1953",,,,"Chaetura brachyura",2816,19663,"https://www.inaturalist.org/taxa/718117",
3642,"Chaetura brachyura praevelox","Bangs & Penard, TE, 1918",,,,"Chaetura brachyura",2816,22218,"https://www.inaturalist.org/taxa/720833",
3633,"Chaetura cinereiventris cinereiventris","Sclater, PL, 1862",,,,"Chaetura cinereiventris",2810,19664,"https://www.inaturalist.org/taxa/718119",
3630,"Chaetura cinereiventris guianensis","Hartert, 1892",,,,"Chaetura cinereiventris",2810,22219,"https://www.inaturalist.org/taxa/720834",
3628,"Chaetura cinereiventris lawrencei","Ridgway, 1893",,,,"Chaetura cinereiventris",2810,22220,"https://www.inaturalist.org/taxa/720835",
3631,"Chaetura cinereiventris occidentalis","von Berlepsch & Taczanowski, 1884",,,,"Chaetura cinereiventris",2810,19665,"https://www.inaturalist.org/taxa/718120",
3627,"Chaetura cinereiventris phaeopygos","Hellmayr, 1906",,,,"Chaetura cinereiventris",2810,19666,"https://www.inaturalist.org/taxa/718121",
